,HHID,PN,V207
465,012553,010,3.0
466,012562,010,2.0
467,012571,010,3.0
468,012571,020,3.0
469,012573,010,2.0
470,012574,010,3.0
471,012574,020,0.0
472,012576,010,3.0
473,012586,010,2.0
474,012586,020,2.0
475,012588,010,3.0
476,012588,020,3.0
477,012596,010,3.0
478,012605,010,1.0
479,012605,040,1.0
480,012611,020,1.0
481,012629,010,2.0
482,012629,040,0.0
483,012648,010,1.0
484,012651,010,2.0
485,012653,010,2.0
486,012666,010,1.0
487,012667,010,2.0
488,012671,010,3.0
489,012682,010,1.0
490,012690,010,3.0
491,012695,020,3.0
492,012695,030,3.0
493,012706,010,1.0
494,012709,020,0.0
495,012715,020,3.0
496,012715,030,3.0
497,012736,010,0.0
498,012738,010,0.0
499,012738,020,0.0
500,012743,010,2.0
501,012744,010,3.0
502,012744,020,1.0
503,012745,010,3.0
504,012745,020,3.0
505,012756,010,2.0
506,012757,010,3.0
507,012761,010,1.0
508,012761,040,1.0
509,012762,010,1.0
510,012765,010,0.0
511,012765,020,1.0
512,012786,010,3.0
513,012792,010,2.0
514,012799,020,0.0
515,012799,030,2.0
516,012804,010,1.0
517,012821,010,3.0
518,012830,010,1.0
519,012852,020,2.0
520,012852,030,2.0
521,012854,010,0.0
522,012864,020,0.0
523,012864,030,1.0
524,012887,010,1.0
525,012909,020,3.0
526,012909,030,3.0
527,012920,010,0.0
528,012922,010,1.0
529,012922,040,1.0
530,012948,010,0.0
531,012964,010,1.0
532,012964,040,3.0
533,012967,010,3.0
534,012971,020,0.0
535,012971,030,2.0
536,012974,010,2.0
537,012974,020,2.0
538,012979,010,1.0
539,012979,020,1.0
540,012981,020,2.0
541,012981,030,1.0
542,012985,010,2.0
543,012985,040,2.0
544,012987,010,0.0
545,012987,020,0.0
546,013008,010,1.0
547,013008,040,3.0
548,013054,010,1.0
549,013054,040,3.0
550,013062,010,1.0
551,013062,020,2.0
552,013063,010,3.0
553,013085,010,0.0
554,013085,020,1.0
555,013089,010,0.0
556,013089,020,0.0
557,013137,010,2.0
558,013137,020,0.0
559,013140,010,1.0
560,013140,040,0.0
561,013142,010,1.0
562,013142,020,0.0
563,013158,010,2.0
564,013176,010,3.0
565,013176,020,2.0
566,013177,010,2.0
567,013177,040,1.0
568,013189,030,3.0
569,013193,010,0.0
570,013194,010,2.0
571,013208,010,2.0
572,013208,040,2.0
573,013211,010,1.0
574,013211,020,0.0
575,013212,010,2.0
576,013216,010,1.0
577,013231,010,2.0
578,013231,020,0.0
579,013238,010,0.0
580,013238,040,0.0
581,013241,010,
582,013242,010,0.0
583,013257,010,1.0
584,013286,010,0.0
585,013286,020,0.0
586,013296,010,2.0
587,013305,020,0.0
588,013305,030,2.0
589,013317,010,2.0
590,013317,040,0.0
591,013318,010,3.0
592,013318,020,3.0
593,013331,010,2.0
594,013336,010,0.0
595,013344,010,3.0
596,013344,040,3.0
597,013371,010,3.0
598,013376,010,1.0
599,013387,010,0.0
600,013387,040,2.0
601,013390,010,1.0
602,013392,020,0.0
603,013392,030,0.0
604,013399,010,0.0
605,013399,040,2.0
606,013418,010,0.0
607,013418,020,2.0
608,013426,010,1.0
609,013433,020,0.0
610,013433,030,1.0
611,013459,010,0.0
612,013465,010,0.0
613,013465,040,0.0
614,013481,010,0.0
615,013483,030,0.0
616,013515,010,3.0
617,013518,010,1.0
618,013518,040,1.0
619,013525,010,1.0
620,013527,010,2.0
621,013527,020,1.0
622,013532,010,
623,013532,020,0.0
624,013535,010,2.0
625,013535,020,1.0
626,013547,010,0.0
627,013547,020,0.0
628,013552,020,1.0
629,013552,030,1.0
630,013560,010,1.0
631,013561,010,1.0
632,013561,020,2.0
633,013564,010,1.0
634,013564,020,1.0
635,013573,010,0.0
636,013573,020,2.0
637,013583,020,0.0
638,013583,030,1.0
639,013590,030,1.0
640,013590,040,1.0
641,013595,010,3.0
642,013598,010,1.0
643,013598,020,0.0
644,013600,010,3.0
645,013600,020,2.0
646,013601,010,2.0
647,013601,040,1.0
648,013602,020,1.0
649,013602,030,1.0
650,013612,010,2.0
651,013631,010,3.0
652,013631,020,3.0
653,013635,010,3.0
654,013635,020,3.0
655,013637,010,3.0
656,013644,010,1.0
657,013652,010,0.0
658,013656,010,3.0
659,013656,040,1.0
660,013671,010,1.0
661,013671,020,1.0
662,013678,010,1.0
663,013678,040,1.0
664,013699,010,2.0
665,013706,010,1.0
666,013734,010,3.0
667,013734,020,1.0
668,013738,010,1.0
669,013738,020,0.0
670,013753,010,1.0
671,013753,020,1.0
672,013757,020,1.0
673,013757,030,2.0
674,013772,020,0.0
675,013772,030,0.0
676,013784,010,3.0
677,013784,040,3.0
678,013794,020,2.0
679,013794,030,3.0
680,013798,010,2.0
681,013798,020,1.0
682,013802,010,1.0
683,013802,020,2.0
684,013808,010,3.0
685,013813,010,2.0
686,013813,020,1.0
687,013814,010,3.0
688,013814,040,2.0
689,013815,010,2.0
690,013816,010,3.0
691,013816,040,3.0
692,013817,010,3.0
693,013817,040,3.0
694,013820,010,3.0
695,013820,020,3.0
696,013857,010,0.0
697,013857,020,1.0
698,013858,030,1.0
699,013860,010,1.0
700,013860,040,0.0
701,013891,010,3.0
702,013894,010,2.0
703,013894,040,1.0
704,013897,010,1.0
705,013899,010,3.0
706,013899,040,3.0
707,013902,010,3.0
708,013902,020,3.0
709,013912,010,0.0
710,013912,020,1.0
711,013915,010,2.0
712,013916,010,3.0
713,013916,040,1.0
714,013965,010,1.0
715,013965,020,1.0
716,013974,010,1.0
717,014008,010,0.0
718,014024,020,1.0
719,014024,030,0.0
720,014028,010,3.0
721,014028,020,3.0
722,014033,010,1.0
723,014036,010,2.0
724,014036,040,1.0
725,014038,010,1.0
726,014043,010,1.0
727,014043,020,0.0
728,014063,010,1.0
729,014063,020,0.0
730,014069,010,1.0
731,014069,020,1.0
732,014072,010,2.0
733,014072,040,1.0
734,014080,020,1.0
735,014080,030,3.0
736,014081,010,1.0
737,014081,040,1.0
738,014085,010,1.0
739,014092,010,1.0
740,014092,040,1.0
741,014098,010,0.0
742,014098,020,1.0
743,014104,010,3.0
744,014104,020,3.0
745,014115,020,1.0
746,014115,030,1.0
747,014121,010,0.0
748,014129,010,1.0
749,014129,020,1.0
750,014136,010,0.0
751,014136,040,0.0
752,014137,010,1.0
753,014137,020,1.0
754,014147,010,2.0
755,014147,040,1.0
756,014149,020,2.0
757,014149,030,3.0
758,014157,010,2.0
759,014157,040,0.0
760,014159,020,0.0
761,014159,030,0.0
762,014167,010,2.0
763,014167,040,2.0
764,014179,010,0.0
765,014179,040,0.0
766,014180,010,2.0
767,014180,020,1.0
768,014186,020,3.0
769,014186,030,3.0
770,014188,020,0.0
771,014188,030,0.0
772,014193,040,2.0
773,014199,010,0.0
774,014199,020,1.0
775,014201,010,0.0
776,014202,010,0.0
777,014212,010,2.0
778,014212,020,2.0
779,014214,010,2.0
780,014215,020,0.0
781,014215,030,2.0
782,014223,010,0.0
783,014224,010,1.0
784,014224,020,0.0
785,014226,010,0.0
786,014230,010,1.0
787,014230,020,1.0
788,014234,010,1.0
789,014234,040,2.0
790,014242,010,2.0
791,014244,020,3.0
792,014244,030,2.0
793,014247,010,3.0
794,014247,040,2.0
795,014251,010,3.0
796,014252,010,2.0
797,014253,010,3.0
798,014259,020,1.0
799,014259,030,3.0
800,014270,010,1.0
801,014270,040,1.0
802,014272,010,0.0
803,014275,010,0.0
804,014275,020,0.0
805,014283,010,2.0
806,014307,010,3.0
807,014308,010,1.0
808,014320,020,0.0
809,014320,030,1.0
810,014332,010,1.0
811,014341,010,0.0
812,014349,010,0.0
813,014349,040,1.0
814,014359,010,1.0
815,014359,020,1.0
816,014397,010,1.0
817,014397,020,1.0
818,014411,010,2.0
819,014411,020,2.0
820,014420,010,1.0
821,014420,020,1.0
822,014427,010,1.0
823,014427,040,1.0
824,014428,010,1.0
825,014428,040,0.0
826,014430,010,2.0
827,014430,020,1.0
828,014433,010,1.0
829,014433,020,0.0
830,014434,020,1.0
831,014434,030,1.0
832,014436,010,1.0
833,014436,020,2.0
834,014449,010,3.0
835,014449,040,2.0
836,014455,010,1.0
837,014456,010,1.0
838,014456,020,1.0
839,014458,020,3.0
840,014458,030,3.0
841,014468,010,1.0
842,014468,020,1.0
843,014473,010,2.0
844,014473,020,1.0
845,014535,010,0.0
846,014539,010,3.0
847,014547,010,0.0
848,014548,010,0.0
849,014553,010,1.0
850,014568,010,3.0
851,014568,020,3.0
852,014571,010,1.0
853,014571,040,2.0
854,014576,010,0.0
855,014578,010,0.0
856,014578,040,3.0
857,014587,010,2.0
858,014597,010,2.0
859,014605,010,0.0
860,014605,040,2.0
861,014617,010,0.0
862,014617,020,0.0
863,014618,010,1.0
864,014619,010,0.0
865,014619,020,1.0
866,014624,010,3.0
867,014624,040,3.0
868,014640,010,1.0
869,014648,010,1.0
870,014648,020,1.0
871,014655,020,0.0
872,014655,030,1.0
873,014670,010,1.0
874,014672,010,0.0
875,014672,040,0.0
876,014674,010,0.0
877,014681,010,0.0
878,014681,040,0.0
879,014701,010,0.0
880,014711,010,0.0
881,014726,010,3.0
882,014726,040,3.0
883,014731,010,2.0
884,014731,020,2.0
885,014736,010,1.0
886,014736,020,1.0
887,014746,010,3.0
888,014748,010,1.0
889,014748,020,1.0
890,014754,010,1.0
891,014754,040,1.0
892,014756,010,3.0
893,014756,040,3.0
894,014758,020,3.0
895,014758,030,3.0
896,014768,010,2.0
897,014771,010,3.0
898,014771,020,1.0
899,014782,010,0.0
900,014783,010,2.0
901,014783,040,1.0
902,014787,010,0.0
903,014802,010,2.0
904,014802,020,1.0
905,014803,010,1.0
906,014808,010,0.0
907,014813,010,3.0
908,014823,020,3.0
909,014823,030,2.0
910,014830,010,0.0
911,014830,020,0.0
912,014844,010,3.0
913,014852,010,1.0
914,014852,020,1.0
915,014869,010,1.0
916,014869,020,1.0
917,014872,010,1.0
918,014872,020,2.0
919,014902,010,1.0
920,014912,010,2.0
921,014955,010,0.0
922,014955,040,0.0
923,014959,010,1.0
924,014959,020,1.0
925,014981,010,0.0
926,014992,010,1.0
927,014996,010,3.0
928,015000,010,2.0
929,015014,010,1.0
930,015014,040,3.0
931,015015,020,1.0
932,015015,030,1.0
933,015018,010,2.0
934,015023,010,1.0
935,015023,040,2.0
936,015037,010,1.0
937,015048,010,1.0
938,015055,010,1.0
939,015055,040,1.0
940,015056,020,1.0
941,015056,030,3.0
942,015059,010,1.0
943,015059,020,0.0
944,015080,010,2.0
945,015080,040,1.0
946,015129,010,0.0
947,015131,010,0.0
948,015133,010,0.0
949,015140,010,0.0
950,015140,040,0.0
951,015148,010,0.0
952,015159,010,0.0
953,015172,010,2.0
954,015172,020,1.0
955,015189,010,1.0
956,015189,040,1.0
957,015195,010,1.0
958,015195,020,2.0
959,015200,010,2.0
960,015200,040,1.0
961,015204,010,3.0
962,015204,020,2.0
963,015209,010,1.0
964,015216,010,0.0
965,015225,010,3.0
966,015225,020,2.0
967,015230,010,3.0
968,015230,020,1.0
969,015236,010,3.0
970,015236,040,3.0
971,015239,010,3.0
972,015257,010,0.0
973,015268,030,0.0
974,015293,010,2.0
975,015294,010,1.0
976,015304,020,0.0
977,015304,030,0.0
978,015314,010,3.0
979,015332,010,0.0
980,015332,040,0.0
981,015339,010,2.0
982,015341,010,1.0
983,015344,010,2.0
984,015344,020,1.0
985,015346,020,0.0
986,015346,030,1.0
987,015358,010,3.0
988,015358,020,2.0
989,015362,010,3.0
990,015362,020,1.0
991,015372,010,1.0
992,015419,010,0.0
993,015419,040,1.0
994,015429,010,2.0
995,015431,010,2.0
996,015436,010,2.0
997,015436,020,1.0
998,015440,010,3.0
999,015440,040,1.0
1000,015445,010,1.0
1001,015445,040,1.0
1002,015447,010,1.0
1003,015447,020,1.0
1004,015451,010,0.0
1005,015451,040,3.0
1006,015469,010,0.0
1007,015471,010,1.0
1008,015497,010,0.0
1009,015497,040,0.0
1010,015502,010,3.0
1011,015511,010,0.0
1012,015511,040,1.0
1013,015514,020,3.0
1014,015514,030,3.0
1015,015516,010,3.0
1016,015516,020,1.0
1017,015536,010,2.0
1018,015537,010,0.0
1019,015543,010,1.0
1020,015543,020,0.0
1021,015551,010,1.0
1022,015551,020,2.0
1023,015560,010,2.0
1024,015560,040,2.0
1025,015565,020,1.0
1026,015565,030,2.0
1027,015566,020,1.0
1028,015566,030,1.0
1029,015570,010,1.0
1030,015570,040,1.0
1031,015581,010,0.0
1032,015588,010,0.0
1033,015588,040,2.0
1034,015589,010,0.0
1035,015591,010,0.0
1036,015591,020,0.0
1037,015592,010,0.0
1038,015593,020,2.0
1039,015593,030,2.0
1040,015604,010,0.0
1041,015618,010,3.0
1042,015625,010,1.0
1043,015625,020,1.0
1044,015636,010,0.0
1045,015648,020,2.0
1046,015657,010,2.0
1047,015658,010,0.0
1048,015659,010,0.0
1049,015662,020,3.0
1050,015676,010,1.0
1051,015676,040,1.0
1052,015698,010,3.0
1053,015698,040,2.0
1054,015707,010,3.0
1055,015707,020,3.0
1056,015708,010,3.0
1057,015709,020,2.0
1058,015709,030,3.0
1059,015726,010,0.0
1060,015726,040,0.0
1061,015730,020,0.0
1062,015730,030,0.0
1063,015734,010,2.0
1064,015734,040,1.0
1065,015739,010,1.0
1066,015739,040,2.0
1067,015752,010,3.0
1068,015752,020,1.0
1069,015758,010,1.0
1070,015776,010,0.0
1071,015776,020,1.0
1072,015779,010,1.0
1073,015779,040,1.0
1074,015781,010,3.0
1075,015784,010,0.0
1076,015793,010,1.0
1077,015793,020,2.0
1078,015801,010,3.0
1079,015801,040,0.0
1080,015833,010,3.0
1081,015833,020,1.0
1082,015834,010,3.0
1083,015836,020,0.0
1084,015840,020,3.0
1085,015883,010,1.0
1086,015883,020,1.0
1087,015889,010,0.0
1088,015889,020,0.0
1089,015893,010,0.0
1090,015893,020,1.0
1091,015897,020,1.0
1092,015897,030,1.0
1093,015911,010,2.0
1094,015911,020,1.0
1095,015919,010,1.0
1096,015932,010,2.0
1097,015932,020,0.0
1098,015935,010,1.0
1099,015957,010,0.0
1100,015960,010,1.0
1101,015964,010,3.0
1102,015972,010,2.0
1103,015973,010,1.0
1104,015973,020,1.0
1105,015977,010,0.0
1106,015977,020,0.0
1107,015981,010,1.0
1108,015981,040,2.0
1109,015982,010,2.0
1110,015982,020,1.0
1111,015983,010,3.0
1112,015983,020,2.0
1113,015986,010,1.0
1114,015986,040,0.0
1115,015987,010,2.0
1116,015987,020,3.0
1117,015991,010,1.0
1118,015991,040,1.0
1119,015992,020,1.0
1120,015992,030,2.0
1121,015995,010,2.0
1122,015995,020,2.0
1123,016013,010,1.0
1124,016015,010,0.0
1125,016022,010,3.0
1126,016022,040,1.0
1127,016024,010,3.0
1128,016024,020,3.0
1129,016035,010,3.0
1130,016035,040,3.0
1131,016036,010,1.0
1132,016036,040,1.0
1133,016042,010,3.0
1134,016042,020,3.0
1135,016043,020,3.0
1136,016043,030,1.0
1137,016048,010,1.0
1138,016048,020,1.0
1139,016054,020,1.0
1140,016054,030,0.0
1141,016062,010,0.0
1142,016062,040,3.0
1143,016064,010,3.0
1144,016064,040,2.0
1145,016081,010,1.0
1146,016081,040,1.0
1147,016086,010,1.0
1148,016086,020,2.0
1149,016099,010,1.0
1150,016107,010,0.0
1151,016116,010,0.0
1152,016116,020,0.0
1153,016119,010,1.0
1154,016119,020,1.0
1155,016142,010,0.0
1156,016161,020,1.0
1157,016161,030,1.0
1158,016162,010,2.0
1159,016162,040,1.0
1160,016174,010,1.0
1161,016174,040,2.0
1162,016190,010,1.0
1163,016197,010,1.0
1164,016197,020,1.0
1165,016203,010,1.0
1166,016211,010,3.0
1167,016220,010,1.0
1168,016220,020,2.0
1169,016221,010,3.0
1170,016221,040,2.0
1171,016223,010,2.0
1172,016233,010,1.0
1173,016233,020,2.0
1174,016237,020,1.0
1175,016237,030,2.0
1176,016243,010,0.0
1177,016245,010,0.0
1178,016245,040,0.0
1179,016246,020,1.0
1180,016246,030,0.0
1181,016247,020,2.0
1182,016247,030,0.0
1183,016248,010,0.0
1184,016250,010,2.0
1185,016250,020,1.0
1186,016257,010,0.0
1187,016261,020,0.0
1188,016261,030,0.0
1189,016262,010,1.0
1190,016262,040,1.0
1191,016266,020,2.0
1192,016266,030,2.0
1193,016306,010,3.0
1194,016312,010,1.0
1195,016331,010,0.0
1196,016331,040,1.0
1197,016358,010,2.0
1198,016358,040,0.0
1199,016365,030,3.0
1200,016367,010,3.0
1201,016367,040,3.0
1202,016376,020,1.0
1203,016376,030,0.0
1204,016381,010,0.0
1205,016381,040,1.0
1206,016392,010,1.0
1207,016398,010,1.0
1208,016398,020,1.0
1209,016400,010,0.0
1210,016404,010,3.0
1211,016404,020,1.0
1212,016407,010,3.0
1213,016407,020,1.0
1214,016412,010,2.0
1215,016412,020,3.0
1216,016415,010,1.0
1217,016415,040,1.0
1218,016420,010,3.0
1219,016420,020,3.0
1220,016430,010,1.0
1221,016433,010,2.0
1222,016433,020,0.0
1223,016437,010,1.0
1224,016437,020,1.0
1225,016439,020,1.0
1226,016439,030,1.0
1227,016444,010,1.0
1228,016444,040,1.0
1229,016449,020,1.0
1230,016449,030,3.0
1231,016453,020,0.0
1232,016453,030,2.0
1233,016454,020,1.0
1234,016454,030,1.0
1235,016457,010,0.0
1236,016459,010,0.0
1237,016459,040,0.0
1238,016460,010,1.0
1239,016468,010,2.0
1240,016468,040,2.0
1241,016471,010,3.0
1242,016475,010,3.0
1243,016478,010,2.0
1244,016481,030,2.0
1245,016484,020,3.0
1246,016484,030,3.0
1247,016491,010,2.0
